id_exutoire;label;type;description;id_dechet;nom_dechet;famille_dechet
1;Poubelle verte / jaune;Exutoire;Ce déchet est à mettre dans la poubelle de tri (bac vert ou vert et jaune). Ce déchet doit être jeté en vrac non imbriqué dans le bac, pas dans un sac poubelle !;11;Affiche murale;Papier carton
1;Poubelle verte / jaune;Exutoire;Ce déchet est à mettre dans la poubelle de tri (bac vert ou vert et jaune). Ce déchet doit être jeté en vrac non imbriqué dans le bac, pas dans un sac poubelle !;12;Agenda;Papier carton
1;Poubelle verte / jaune;Exutoire;Ce déchet est à mettre dans la poubelle de tri (bac vert ou vert et jaune). Ce déchet doit être jeté en vrac non imbriqué dans le bac, pas dans un sac poubelle !;32;Almanach;Papier carton
1;Poubelle verte / jaune;Exutoire;Ce déchet est à mettre dans la poubelle de tri (bac vert ou vert et jaune). Ce déchet doit être jeté en vrac non imbriqué dans le bac, pas dans un sac poubelle !;47;Annuaire;Papier carton
1;Poubelle verte / jaune;Exutoire;Ce déchet est à mettre dans la poubelle de tri (bac vert ou vert et jaune). Ce déchet doit être jeté en vrac non imbriqué dans le bac, pas dans un sac poubelle !;58;Applicateur de tampon;Vie domestique
1;Poubelle verte / jaune;Exutoire;Ce déchet est à mettre dans la poubelle de tri (bac vert ou vert et jaune). Ce déchet doit être jeté en vrac non imbriqué dans le bac, pas dans un sac poubelle !;117;Bande dessinée;Papier carton
1;Poubelle verte / jaune;Exutoire;Ce déchet est à mettre dans la poubelle de tri (bac vert ou vert et jaune). Ce déchet doit être jeté en vrac non imbriqué dans le bac, pas dans un sac poubelle !;122;Baril de lessive;Papier carton
1;Poubelle verte / jaune;Exutoire;Ce déchet est à mettre dans la poubelle de tri (bac vert ou vert et jaune). Ce déchet doit être jeté en vrac non imbriqué dans le bac, pas dans un sac poubelle !;123;Barquette de beurre;Emballages en plastique
1;Poubelle verte / jaune;Exutoire;Ce déchet est à mettre dans la poubelle de tri (bac vert ou vert et jaune). Ce déchet doit être jeté en vrac non imbriqué dans le bac, pas dans un sac poubelle !;124;Barquette en aluminium;Emballages en métal
1;Poubelle verte / jaune;Exutoire;Ce déchet est à mettre dans la poubelle de tri (bac vert ou vert et jaune). Ce déchet doit être jeté en vrac non imbriqué dans le bac, pas dans un sac poubelle !;125;Barquette en plastique;Emballages en plastique
